time,Ia,Ib,Ic,Vab,Torque,Speed,Category
0.075124792,0.000615675,0.000688594,0.001008832,1.42E-06,15.32756857,1.861551642,PTPF
-1.26E-15,-5.892623347,4.969353381,-3.466594335,-4.495101507,0.013445667,0.007733362,PTPF
0.35,19.18012419,25.35971933,39.55462537,475.0054416,5.80986268,-0.425442551,PTGF
0.5,12.32921952,12.33124483,12.33166943,474.5674143,32.84702746,147.3265298,NOM
0.2,19.49796674,19.49798426,19.49798388,303.0793416,20.96823282,125.5807802,UVF
0.075124792,0.000645352,0.000814436,0.000734825,7.04E-07,14.98658141,1.814430364,PTPF
0.075124792,0.000170762,0.000167042,0.000151335,4.11E-07,2.947608937,0.037081579,OLF
0.007525,6.92E-05,9.94E-05,7.12E-05,4.98E-10,23.0619443,0.003118013,OVF
0.5,13.31325075,13.31323514,13.31324147,346.3892857,23.86879827,141.1281792,UVF
0.35,14.7636489,14.76367257,14.76366608,474.5632725,31.47934581,144.7822121,NOM
-1.26E-15,-4.475719499,1.673271558,2.756137107,1.495368825,0.897163435,-0.359611505,PTGF
0.007525,0.000152519,0.000189278,0.000198997,1.20E-09,27.17359798,0.004524845,OVF
0.5,31.79609619,7.753198893,24.05361641,427.7636078,49.40938357,139.6055559,PTPF
0.075124792,0.00083151,0.000964652,0.001008455,2.08E-06,3.031810279,0.039718996,NOM
0.2,7.435739432,22.52712544,29.63157475,237.5034528,-7.736901448,136.937985,PTPF
0.086746758,0.001768596,0.002179186,0.002552286,3.23E-06,17.36254471,2.090933238,PTPF
0.007525,2.72E-06,3.97E-06,3.77E-06,1.70E-11,13.43151345,0.001646677,NOM
0.086746758,4.760079897,11.17196528,1.937607921,0.019212594,129.2306928,26.17768729,PTGF
0.086746758,0.00074669,0.000746861,0.00076026,7.66E-07,1.296754868,0.012888712,UVF
0.5,10.87860399,10.88342757,10.88955031,474.569981,29.51379124,148.8032385,NOM
0.35,11.09948299,11.09890183,11.09885002,584.551313,27.32131008,150.6647143,OVF
-1.26E-15,0.090047519,-0.434885156,-0.440797975,1.612623424,-0.056783046,-0.01650221,UVF
-1.26E-15,-4.135357736,-3.916382238,-2.875775638,4.26659549,-0.054894402,-0.017371922,OLF
0.2,19.44629351,27.55850597,9.984843355,362.3964579,-381.5128425,-80.14909825,PTGF
0.086746758,0.000140513,0.000157058,0.000123161,3.26E-07,3.423886807,0.03614818,OLF
0.5,11.68289171,11.68281058,11.68285293,389.6932968,24.90866318,145.3678149,UVF
0.5,72.76409551,41.39970938,44.06658137,362.7609962,456.4809616,105.2690235,PTGF
0.5,12.81447594,12.81569553,12.8201379,474.5665751,33.92087462,146.8326203,NOM
0.5,19.53695508,19.53703878,19.53692585,474.9843074,47.17955227,139.7437228,OLF
-1.26E-15,-3.156433284,-0.564382493,0.666331974,2.871400969,-0.06978356,-0.013928431,NOM
0.075124792,0.000536327,0.000796115,0.000687472,7.33E-07,14.78588071,1.789267857,PTPF
0.5,74.25218028,41.38843466,46.37853575,362.4336109,468.9882482,106.8981806,PTGF
0.5,8.589795457,25.25562006,33.59185904,237.2860879,50.0517113,136.5023325,PTPF
0.007525,0.000497242,0.000407121,0.000480782,3.59E-09,31.82271062,0.007554168,OVF
-1.26E-15,0.412817831,-4.034600188,4.489362663,-3.668659838,0.0069493,0.005971731,PTPF
0.086746758,11.00313993,2.035102718,4.743620921,0.009135164,121.3125331,26.24469751,PTGF
0.086746758,0.00137987,0.001634621,0.001631449,3.38E-06,3.650637063,0.040324965,NOM
0.2,10.0535432,19.4416187,30.11210067,474.9096512,-359.1018467,-106.1856974,PTGF
0.086746758,0.001204455,0.001398749,0.001288901,2.86E-06,3.639561877,0.040131057,NOM
0.35,26.24338721,26.2433859,26.243384,474.9744053,51.72572795,131.6279129,OLF
0.007525,2.312863558,18.00783538,109.7897767,2.43E-05,14816.23892,622.5800701,PTGF
0.35,32.39201244,7.979148742,24.44796345,427.7627607,24.44346015,135.6761796,PTPF
-1.26E-15,2.145315948,2.650905339,-3.879496124,-3.474808188,1.136894373,-0.059221325,PTGF
-1.26E-15,-2.393044189,-3.651180505,-2.300181959,2.824785619,-0.063279356,-0.013227993,NOM
0.086746758,0.001007764,0.001119607,0.001180115,2.35E-06,3.629914288,0.039922574,NOM
0.35,25.30115399,39.50001097,19.13491872,362.4282814,-1.975339123,0.386527429,PTGF
0.086746758,0.003198995,0.00519289,0.005136182,4.72E-06,18.1978197,2.195935717,PTPF
0.5,30.29573331,7.459369092,23.01418331,428.1522137,48.36686902,142.169793,PTPF
-1.26E-15,3.134382486,3.147972941,3.247655259,-3.078749951,-0.043805423,-0.030832787,UVF
0.086746758,0.001999592,0.001991302,0.002166141,1.64E-06,16.42959029,1.979631067,PTPF
0.2,13.29731697,13.29621558,13.2969779,474.5657199,21.46844288,146.2212034,NOM
0.007525,3.94E-06,5.85E-06,5.38E-06,2.55E-11,13.58303356,0.001674033,NOM
0.086746758,0.002081776,0.002129719,0.002415334,1.66E-06,16.66213631,2.008070258,PTPF
0.075124792,0.000452233,0.000450896,0.000456954,4.57E-07,1.112327907,0.012244864,UVF
0.007525,1.11E-06,1.43E-06,1.55E-06,5.93E-12,13.16600822,0.001595104,NOM
0.2,11.43966111,11.40907341,11.40372764,541.24888,17.77935863,149.4687944,OVF
